ITEM: TIMESTEP
5811
ITEM: NUMBER OF ATOMS
2272
ITEM: BOX BOUNDS pp pp pp
-2.1977204902229017e+00 1.2859395849022266e+02
2.2466831253964842e-02 1.8034138168745997e+01
3.5896127169245312e-02 1.1384103872830766e+01
ITEM: ATOMS id type x y z c_eng
237 1 51.5075 6.83718 1.70315 -4.12179
156 1 52.4157 5.0257 3.11931 -4.12178
157 1 52.4157 5.0257 0.282259 -4.12178
158 1 55.1404 4.09415 3.11221 -4.12176
159 1 54.2322 5.90568 1.69605 -4.12187
160 1 55.1404 4.09415 0.275155 -4.12176
243 1 56.0487 6.78562 3.10983 -4.1212
244 1 56.0487 6.78562 0.272778 -4.1212
163 1 56.9567 4.97451 1.68896 -4.12403
164 1 59.6748 4.05472 1.68146 -4.00083
165 1 58.7757 5.85303 3.10288 -4.08817
166 1 58.7757 5.85303 0.26583 -4.08817
167 1 61.5541 4.85853 3.09351 -3.90585
168 1 61.5541 4.85853 0.256456 -3.90585
251 1 60.5807 6.73587 1.68033 -3.91525
1206 1 62.9748 6.93759 1.65561 -3.89723
1207 1 63.9595 5.07106 3.06856 -3.93741
1208 1 63.9595 5.07106 0.231504 -3.93741
1211 1 65.7827 5.98391 1.6449 -3.99193
1209 1 66.5765 4.1329 3.06534 -3.90988
1210 1 66.5765 4.1329 0.228286 -3.90988
1212 1 67.7404 6.68142 3.05069 -4.10296
1213 1 67.7404 6.68142 0.213642 -4.10296
1214 1 68.8797 4.04012 3.03093 -3.90002
1215 1 68.8797 4.04012 0.193882 -3.90002
1216 1 69.6709 5.87623 1.61539 -4.02531
1217 1 71.5031 4.93793 3.02784 -4.13901
1218 1 72.4264 6.72367 1.60665 -4.11515
1219 1 71.5031 4.93793 0.190789 -4.13901
1220 1 73.3221 4.02175 1.60441 -4.12547
1221 1 74.235 5.81378 3.02054 -4.11917
1222 1 74.235 5.81378 0.183484 -4.11917
1223 1 76.0464 4.90291 1.59731 -4.12074
1224 1 76.9516 6.69926 3.01349 -4.12238
1225 1 76.9516 6.69926 0.176438 -4.12238
1226 1 78.7649 5.78731 1.59025 -4.122
1227 1 77.8588 3.99147 3.01113 -4.12144
1228 1 77.8588 3.99147 0.174081 -4.12144
1229 1 80.5779 4.87548 3.00407 -4.12186
1230 1 80.5779 4.87548 0.167019 -4.12186
1231 1 81.4845 6.671 1.58319 -4.12174
1232 1 82.3909 3.96369 1.58084 -4.12181
1233 1 83.2974 5.75925 2.99701 -4.12177
1234 1 83.2974 5.75925 0.159955 -4.12177
1235 1 85.1104 4.84749 1.57377 -4.12178
1236 1 86.0168 6.64307 2.98994 -4.12179
1237 1 86.0168 6.64307 0.152892 -4.12179
1238 1 86.9233 3.93573 2.98759 -4.12179
1239 1 86.9233 3.93573 0.150538 -4.12179
1240 1 87.8298 5.73131 1.56671 -4.12179
1241 1 89.6428 4.81954 2.98053 -4.12179
1242 1 89.6428 4.81954 0.143474 -4.12179
1243 1 91.4557 3.90777 1.55729 -4.12179
1244 1 90.5492 6.61512 1.55965 -4.12179
1245 1 92.3622 5.70335 2.97346 -4.12179
1246 1 92.3622 5.70335 0.136411 -4.12179
1247 1 94.1751 4.79159 1.55023 -4.12179
1248 1 95.0816 6.58716 2.9664 -4.12179
1249 1 95.0816 6.58716 0.129348 -4.12179
1250 1 95.9881 3.87982 2.96405 -4.12179
1251 1 95.9881 3.87982 0.126994 -4.12179
1252 1 96.8946 5.6754 1.54317 -4.12179
1253 1 98.7075 4.76363 2.95698 -4.12179
1254 1 98.7075 4.76363 0.119931 -4.12179
1255 1 99.614 6.55921 1.5361 -4.12179
1256 1 101.427 5.64744 2.94992 -4.12179
1257 1 100.52 3.85187 1.53375 -4.12179
1258 1 101.427 5.64744 0.112868 -4.12179
1259 1 103.24 4.73568 1.52668 -4.12179
1260 1 104.146 6.53125 2.94286 -4.12179
1261 1 104.146 6.53125 0.105805 -4.12179
1262 1 105.053 3.82391 2.9405 -4.12179
1263 1 105.053 3.82391 0.10345 -4.12179
1264 1 105.959 5.61949 1.51962 -4.12179
1265 1 107.772 4.70772 2.93344 -4.12179
1266 1 107.772 4.70772 0.0963875 -4.12179
1267 1 108.679 6.5033 1.51256 -4.12179
1268 1 110.492 5.59154 2.92638 -4.12178
1269 1 109.585 3.79596 1.5102 -4.12179
1270 1 110.492 5.59154 0.0893247 -4.12178
1271 1 112.305 4.67978 1.50314 -4.12177
1273 1 115.024 5.56355 1.49608 -4.12186
1274 1 113.211 6.47534 2.91931 -4.12181
1275 1 113.211 6.47534 0.0822618 -4.12181
1375 1 114.118 3.76803 0.0799077 -4.12174
1807 1 114.118 3.76803 2.91696 -4.12174
1192 1 118.651 3.73977 1.48666 -4.12238
1193 1 116.837 4.65172 2.9099 -4.122
1278 1 117.743 6.44756 1.48902 -4.12144
2033 1 116.837 4.65172 0.0728443 -4.122
1196 1 121.367 4.62524 1.47961 -4.11917
1280 1 119.556 5.53612 2.90284 -4.12074
2091 1 119.556 5.53612 0.0657856 -4.12074
1200 1 123.176 3.71535 2.8935 -4.11517
