ITEM: TIMESTEP
13225
ITEM: NUMBER OF ATOMS
2927
ITEM: BOX BOUNDS pp pp pp
-2.0174776239694991e+00 1.3559208562396901e+02
1.7541432723851027e-02 2.2244893567276108e+01
7.8240202608196047e-03 1.0552175979739211e+01
ITEM: ATOMS id type x y z c_eng
2451 1 77.9902 3.88468 0.332502 -4.44979
1478 1 79.6639 4.43008 2.08991 -4.44887
2523 1 79.1049 6.10219 0.332502 -4.45054
2454 1 81.333 4.97759 0.332502 -4.44988
1480 1 81.8906 3.3068 2.08991 -4.44956
1551 1 83.0034 5.52401 2.08989 -4.4499
2456 1 83.5611 3.85349 0.332502 -4.44981
2528 1 84.6744 6.07021 0.332502 -4.44985
1484 1 85.2318 4.39989 2.08989 -4.44985
1485 1 87.46 3.27586 2.08989 -4.44983
2461 1 86.9028 4.94615 0.332502 -4.44983
1556 1 88.5739 5.49237 2.08989 -4.44982
2462 1 89.131 3.82212 0.332502 -4.44982
2533 1 90.245 6.03857 0.332502 -4.44982
1489 1 90.8021 4.36835 2.08989 -4.44982
1492 1 93.0304 3.24434 2.08989 -4.44982
2466 1 92.4732 4.91456 0.332502 -4.44982
1563 1 94.1444 5.46076 2.08989 -4.44982
1495 1 96.3726 4.33677 2.08989 -4.44982
2469 1 94.7015 3.79055 0.332502 -4.44982
2539 1 95.8156 6.00696 0.332502 -4.44982
1498 1 98.6008 3.21278 2.08989 -4.44982
2472 1 98.0438 4.88298 0.332502 -4.44982
1568 1 99.7149 5.42919 2.08989 -4.44982
2475 1 100.272 3.759 0.332502 -4.44982
1501 1 101.943 4.30522 2.08989 -4.44982
2545 1 101.386 5.97541 0.332502 -4.44982
1574 1 105.285 5.39767 2.08989 -4.44982
2479 1 103.614 4.85144 0.332502 -4.44982
2481 1 105.842 3.72747 0.332502 -4.44982
1507 1 107.514 4.2737 2.08989 -4.44982
2551 1 106.957 5.9439 0.332502 -4.44982
2485 1 109.185 4.81993 0.332502 -4.44982
1580 1 110.856 5.36616 2.08989 -4.44982
2486 1 111.413 3.69597 0.332502 -4.44982
1513 1 113.084 4.2422 2.08989 -4.44982
2557 1 112.527 5.9124 0.332502 -4.44982
2492 1 114.755 4.78844 0.332502 -4.44982
1586 1 116.426 5.33467 2.08989 -4.44982
2491 1 116.983 3.66447 0.332502 -4.44982
1520 1 118.654 4.21071 2.08989 -4.44982
2496 1 120.326 4.75693 0.332502 -4.44983
2563 1 118.097 5.8809 0.332502 -4.44982
1592 1 121.997 5.30316 2.08989 -4.44983
2498 1 122.554 3.63295 0.332502 -4.44984
2569 1 123.668 5.84946 0.332502 -4.44977
